sensor,mean_pass,std_pass,lower,upper
sensor_000,0.024752369412551965,1.0293721251202175,-2.033991880827883,2.083496619652987
sensor_001,-0.01352783909610967,1.0264508920952855,-2.066429623286681,2.0393739450944612
sensor_002,0.08013163977865333,1.019303677340311,-1.9584757149019687,2.1187389944592754
sensor_003,0.10561219794769756,1.1097611220959558,-2.113910046244214,2.325134442139609
sensor_004,0.08493681316545543,1.635519209886869,-3.1861016066082826,3.355975232939193
sensor_006,-0.09129760202380645,1.029717600394726,-2.150732802813258,1.9681375987656453
sensor_008,-0.093943814521411,1.0193598808025315,-2.132663576126474,1.9447759470836519
sensor_009,0.07839695486751869,0.9890715480339712,-1.8997461412004237,2.056540050935461
sensor_011,0.0840316465893357,0.725224276532413,-1.3664169064754903,1.5344801996541615
sensor_012,-0.012036039363569239,0.7857117279415868,-1.583459495246743,1.5593874165196044
sensor_014,0.10993069362526889,0.9622953404894008,-1.8146599873535327,2.0345213746040707
sensor_015,0.05527246407109364,1.5170548893473355,-2.9788373146235774,3.0893822427657645
sensor_016,-0.04829494415855945,0.23274367428462414,-0.5137822927278077,0.41719240441068883
sensor_017,0.03600234779065282,0.5663801416344455,-1.0967579354782382,1.1687626310595438
sensor_018,0.028419620614724264,0.9416523577542293,-1.8548850948937343,1.9117243361231828
sensor_019,0.020344358153116384,0.8093297930056151,-1.5983152278581139,1.6390039441643467
sensor_020,0.08304304174798106,0.8793277108706468,-1.6756123799933125,1.8416984634892746
sensor_021,-0.06310029575307853,0.8584937505420432,-1.7800877968371651,1.6538872053310079
sensor_022,0.039094106562033624,0.872542806783998,-1.7059915070059624,1.7841797201300296
sensor_023,-0.015122368596539145,0.9616913782644938,-1.9385051251255268,1.9082603879324485
sensor_024,0.01816146092779572,1.0043263146862549,-1.990491168444714,2.0268140903003053
sensor_025,0.01692692517030233,0.9049976965690008,-1.7930684679676991,1.8269223183083039
sensor_026,0.04880081242466076,0.677550701525507,-1.3063005906263532,1.4039022154756748
sensor_028,0.1320830764042787,0.997842387848968,-1.8636016992936573,2.1277678521022145
sensor_029,-0.062325643582323426,1.0547338977868557,-2.1717934391560347,2.047142151991388
sensor_030,-0.10822069998293261,1.003530798289574,-2.1152822965620808,1.8988408965962154
sensor_031,0.06201636595002802,1.0276158541156228,-1.9932153422812178,2.1172480741812736
sensor_032,-0.037253527187211824,0.9462277479669512,-1.9297090231211143,1.8552019687466905
sensor_033,-0.043141223342110076,0.7451280694214529,-1.5333973621850159,1.4471149155007959
sensor_034,-0.0319446713487541,0.8217289998182236,-1.6754026709852012,1.611513328287693
sensor_035,-0.035254795556631496,0.8810346238258572,-1.797324043208346,1.7268144520950828
sensor_037,-0.022894730126224144,1.0187604972224038,-2.060415724571032,2.0146262643185833
