sensor,mean_pass,std_pass,lower,upper
sensor_000,-0.06281238757516384,1.016485267580496,-2.095782922736156,1.9701581475858283
sensor_001,-0.012825315340591132,0.937256587537786,-1.887338490416163,1.8616878597349809
sensor_002,-0.02654159401557735,0.9539276960997244,-1.934396986215026,1.8813137981838715
sensor_003,-0.09922759186266823,0.9740144504357428,-2.047256492734154,1.8488013090088173
sensor_004,0.09570994996098672,1.044541521109706,-1.9933730922584252,2.1847929921803986
sensor_005,-0.02676117483475566,0.9548987796636925,-1.9365587341621406,1.8830363844926294
sensor_006,0.0586680014161332,0.9732057776112055,-1.887743553806278,2.0050795566385444
sensor_007,0.025526101048573818,1.0036822269436971,-1.9818383528388204,2.032890554935968
sensor_008,-0.06229334089460785,0.9971945878479317,-2.056682516590471,1.9320958348012556
sensor_009,-0.02450073282228458,0.9799350783038379,-1.9843708894299603,1.9353694237853911
sensor_010,-0.09400012517721629,0.9898245180310655,-2.0736491612393473,1.8856489108849148
sensor_011,0.06508492874136598,0.9942783314869419,-1.9234717342325178,2.05364159171525
sensor_012,0.0011187966271858519,1.0563530858128454,-2.111587374998505,2.1138249682528767
sensor_013,-0.001209749760112675,1.084990198911329,-2.1711901475827706,2.1687706480625457
sensor_014,0.05580274961930974,1.043241677756283,-2.0306806058932563,2.1422861051318756
sensor_015,0.02605462099590215,0.9731036962470457,-1.9201527714981894,1.9722620134899935
sensor_016,-0.00039379554883960344,0.9198227571525937,-1.8400393098540269,1.8392517187563477
sensor_017,-0.07848472942153165,0.9799636629193375,-2.0384120552602067,1.8814425964171433
sensor_018,-0.018807578190510658,1.001513927797916,-2.0218354337863427,1.9842202774053213
sensor_019,-0.06812633308390005,0.9805268389113683,-2.0291800109066367,1.8929273447388364
sensor_020,0.013171940693209549,1.0332728040093386,-2.053373667325468,2.0797175487118866
sensor_021,-0.0472151873957268,1.021947546136474,-2.091110279668675,1.9966799048772212
sensor_022,0.059415405042103214,0.9901712489443668,-1.9209270928466304,2.039757902930837
sensor_023,-0.0054745636704986314,0.9562419891099662,-1.917958541890431,1.9070094145494336
sensor_024,-0.08389352020893476,1.052816893150891,-2.189527306510717,2.021740266092847
sensor_025,0.06076053080671128,0.9929964125328148,-1.9252322942589184,2.0467533558723408
sensor_026,0.0387789665110503,1.0649744406739678,-2.091169914836885,2.168727847858986
sensor_027,-0.04516822254516302,1.0700428128375838,-2.1852538482203308,2.0949174031300046
sensor_028,0.06040783158097815,0.8888545705920633,-1.7173013096031484,1.8381169727651048
sensor_029,0.03773756564765013,1.0395828506292804,-2.0414281356109107,2.1169032669062107
sensor_030,-0.006216316811747139,0.9924800005229268,-1.9911763178576007,1.9787436842341066
sensor_031,0.10724463186268898,0.9531845131949211,-1.7991243945271533,2.0136136582525315
sensor_032,-0.021950714590375283,0.9232621221178196,-1.8684749588260143,1.8245735296452639
sensor_033,0.007803431734777871,1.0002349660949124,-1.9926665004550468,2.0082733639246024
sensor_034,-0.05731283946172025,1.012541862198569,-2.082396563858858,1.9677708849354176
sensor_035,0.013884128862518021,0.924220458114129,-1.83455678736574,1.862325045090776
sensor_036,-0.07641257171224969,0.9851963775752517,-2.046805326862753,1.8939801834382537
sensor_037,-0.016506104646618593,1.0121489442971974,-2.0408039932410134,2.007791783947776
sensor_038,0.007120380904921227,0.9560438804101995,-1.9049673799154778,1.9192081417253202
sensor_039,0.039363241483060765,0.9838928871751924,-1.9284225328673241,2.0071490158334457
sensor_040,-0.007826512417428091,0.9985618563156369,-2.004950225048702,1.9892972002138456
sensor_041,0.038755345068206944,0.9671969748818323,-1.8956386046954576,1.9731492948318716
sensor_042,-0.08246059114196366,0.9925739594038235,-2.067608509949611,1.9026873276656835
sensor_043,-0.019522648564414973,1.0185234868429907,-2.056569622250396,2.0175243251215664
sensor_044,0.0019736268136824682,1.0139056539673217,-2.025837681120961,2.0297849347483257
sensor_045,-0.030211845288314155,1.0087009455873461,-2.0476137364630063,1.987190045886378
sensor_046,-0.022573426496254403,1.0134239228699602,-2.0494212722361747,2.004274419243666
sensor_047,-0.0030602122923784046,1.0195357956374125,-2.0421318035672034,2.0360113789824466
sensor_048,-0.009585990139281674,1.013758993794279,-2.0371039777278397,2.0179319974492764
sensor_049,-0.03481376660344986,0.9944871830314993,-2.0237881326664486,1.9541605994595488
sensor_050,-0.031081635575872367,1.0122023815159704,-2.055486398607813,1.9933231274560685
sensor_051,0.055203109107883806,0.9626527328527467,-1.8701023565976096,1.980508574813377
sensor_052,0.09665749170673388,0.9059065353460631,-1.7151555789853923,1.9084705623988603
sensor_053,0.043738005864805155,1.0242207943834412,-2.004703582902077,2.0921795946316877
sensor_054,-0.05484491525364382,1.0121226939447494,-2.0790903031431425,1.969400472635855
sensor_055,0.013186383610718765,0.9949007385893136,-1.9766150935679085,2.002987860789346
sensor_056,-0.04742279147805965,0.9861885468620777,-2.019799885202215,1.9249543022460958
sensor_057,0.001980043795057086,0.9530379130367524,-1.904095782278448,1.908055869868562
sensor_058,-0.040074327963516954,1.0247675851871265,-2.08960949833777,2.009460842410736
sensor_059,-0.014054516467621523,0.9933847545296843,-2.00082402552699,1.972714992591747
sensor_060,-0.07159305555126431,1.0092173683680818,-2.090027792287428,1.9468416811848994
sensor_061,-0.07743271162439376,1.0073451857664646,-2.0921230831573228,1.9372576599085354
sensor_062,-0.028532614454448883,1.016269151753215,-2.061070917960879,2.004005689051981
sensor_063,-0.0017492598800790391,0.9912670693180338,-1.9842833985161465,1.9807848787559885
sensor_064,0.08210341944391257,1.0147498137140276,-1.9473962079841427,2.1116030468719678
sensor_065,0.07051385336703493,0.9810764480509536,-1.8916390427348724,2.0326667494689423
sensor_066,-0.028078466911893325,0.9995049977658861,-2.0270884624436656,1.9709315286198787
sensor_067,-0.047111130846894396,0.9749015988026668,-1.996914328452228,1.9026920667584393
sensor_068,-0.029704393683588966,0.9670247645246498,-1.9637539227328886,1.9043451353657106
sensor_069,-0.14696153811504842,0.9557576783115855,-2.0584768947382193,1.7645538185081227
sensor_070,-0.05707202748008326,1.0313980368002835,-2.1198681010806504,2.0057240461204837
